word,corpus,experiment,bias,external_score,bias_pmi,lor_se,dpmi_lower,dpmi_upper,lor_pvalue,lor_pvaluecor,bias_sgns,se_sgns,lower_sgns,upper_sgns,sgns_pvalue,sgns_pvaluecor,bias_glovewc,se_glovewc,lower_glovewc,upper_glovewc,glovewc_pvalue,glovewc_pvaluecor
delirium,wiki2014,glasgow-gender,gender,4.718999999999999,0.0596463394673502,0.1103919264622289,-0.1567178605826127,0.2760105395173131,0.5889797583829222,0.6251122745693368,0.5735741493695786,0.4708584724851818,-0.42868007355721,1.4145093553294898,0.2800870173257711,0.8020097951643576,0.6616874660435098,0.4131294787731565,-0.3301807754782745,1.341495009439262,0.2173102323051822,0.6624159526579325
deluded,wiki2014,glasgow-gender,gender,3.943,0.0955472680037021,0.1435974748646777,-0.1858986110019618,0.3769931470093662,0.5058054321119267,0.5448106139939987,-0.0224258573782478,0.5013422662092529,-0.9433356303479182,0.933382055102224,0.9646492114054852,0.9943544381909336,0.4953632481102902,0.4751626231110815,-0.6030486969591949,1.2599384445022177,0.3622873125631264,0.7585989626817845
deluge,wiki2014,glasgow-gender,gender,3.692,-0.8742594172105604,0.2008048753238097,-1.2678297407652834,-0.4806890936558374,1.3381095570030311e-05,2.1867454529275277e-05,-0.4314858415473711,0.4846277162874339,-1.2186661603769997,0.620031287623059,0.4332219718747572,0.8667547199129827,-0.3155497013899982,0.5097755517325009,-1.324046016857811,0.6476459721222546,0.553958511382177,0.85628654735012
democracy,wiki2014,glasgow-gender,gender,3.3230000000000004,-0.7807403098466685,0.0423355164178843,-0.8637163972926261,-0.697764222400711,6.049776030343069e-76,3.7167382106208574e-75,0.1024189259948166,0.5230215498782851,-0.8998049763776378,1.1119893056418255,0.8467873514101468,0.971590148012824,-0.4879354733716646,0.4865350629339326,-1.3527263782712795,0.5237602065228154,0.3555279310076917,0.7581464033021799
democratic,wiki2014,glasgow-gender,gender,3.156,-0.6057569162187031,0.018284830529206,-0.6415945255193654,-0.5699193069180408,1.062302896766308e-240,1.6900758649055934e-239,-0.0468341212974875,0.5308573703135042,-1.066581578187643,1.0156532824996354,0.9303084453422422,0.9896479857172528,-0.3933378224740463,0.5164592991910683,-1.3502945733493308,0.6917642792599297,0.4609587444642996,0.8142811402160403
demolish,wiki2014,glasgow-gender,gender,2.056,-0.6928590949359268,0.1435952335734936,-0.9743005810915912,-0.4114176087802624,1.3994050432396056e-06,2.4157668303689154e-06,-0.5966755056417002,0.4837545745644172,-1.4825833175408725,0.3876169719989862,0.2663351720923005,0.794952054187494,-0.3986981575508136,0.583415932246155,-1.5166538247056736,0.5832817460734157,0.4742444254525678,0.8192453507179636
demon,wiki2014,glasgow-gender,gender,2.758,0.3692669875361298,0.0244417886137473,0.3213619621354439,0.4171720129368158,1.4250992344736058e-51,6.737477615246545e-51,0.0205647262133748,0.504898845818921,-0.9903997730380256,0.966631747775456,0.969388547898376,0.9947264016346384,-0.3741174196647747,0.4917568997398556,-1.284214454093651,0.6144172079708252,0.4806153368036671,0.821155109165717
dense,wiki2014,glasgow-gender,gender,2.971,0.006457394677195,0.0786474870670958,-0.1476888474488923,0.1606036368032825,0.9345626024754572,0.9425011253251108,0.3644326543788305,0.5084034270702286,-0.7285939134278457,1.33311891083416,0.4930463833423976,0.8894564372858956,0.2110034420511398,0.5107808218583538,-0.8164906547671175,1.212376672295066,0.6942739491880973,0.90914694063809
dentist,wiki2014,glasgow-gender,gender,3.1180000000000003,0.3099641841669674,0.0524396221448627,0.2071844134001474,0.4127439549337874,3.4021821360088113e-09,6.713884464535984e-09,0.1259722813373976,0.5112932003659266,-0.8976020717013232,1.0939859523519693,0.8159428171859219,0.9666168791161238,0.726694625465966,0.4521690176339234,-0.2515960698371869,1.4876960870241691,0.1652552249242483,0.6070595063102092
depress,wiki2014,glasgow-gender,gender,4.064,0.2391241887778616,0.2516181742647658,-0.2540383706368024,0.7322867481925258,0.3419366236591142,0.3805617590244043,0.4860533890818084,0.4922555746473833,-0.5050135723469464,1.4038882005333813,0.3601895734597156,0.8307175836700704,0.7782651757973559,0.4092717470606763,-0.1043198065841966,1.4780232976559031,0.1371299821303706,0.5752917713225529
depressed,wiki2014,glasgow-gender,gender,4.513999999999999,0.4262906832281233,0.0316737923748342,0.3642111909196489,0.4883701755365978,2.725974471229001e-41,1.1208357371313008e-40,1.0039757251482042,0.3796273737710096,0.194363969642352,1.6469505623957998,0.0466164245202393,0.4839201264635551,0.4444205260685007,0.5092820712425424,-0.5525325188760043,1.4352719421157971,0.4002020045062543,0.7817834117600154
depression,wiki2014,glasgow-gender,gender,4.176,0.3612614645623503,0.0221202773230308,0.3179065176811718,0.4046164114435288,5.822397696306027e-60,3.035188436855908e-59,0.9911857959627688,0.3504034445871357,0.1913443385052164,1.5838959865612146,0.0528319477896045,0.4983096723988718,0.0456487158752072,0.5264088389571931,-1.1119734297844408,0.9628794369718244,0.938466319633284,0.9822097084161908
derelict,wiki2014,glasgow-gender,gender,3.294,0.3115367663463387,0.1022670452650927,0.1110970408214295,0.5119764918712479,0.0023166790389944,0.0032709703452309,0.5166653112080809,0.490695064768794,-0.4491480011286395,1.45418609188568,0.3316758604615026,0.8203795111102479,1.0297831271059843,0.3472242835450936,0.2508934013497805,1.6288144155737352,0.0442079092533602,0.3759057494077134
descend,wiki2014,glasgow-gender,gender,3.545,-0.1712338954531185,0.0735556322447239,-0.3154002855128505,-0.0270675053933864,0.019914299159735,0.02599587869972,-0.2949392761431644,0.5005988349667877,-1.2273190906830147,0.6856515696167403,0.5816175899308523,0.9174000138053954,-0.2388743024317405,0.505737848673013,-1.217331581226914,0.7855917708979738,0.6531738015694196,0.891463032371624
descent,wiki2014,glasgow-gender,gender,3.588,0.1531820499522951,0.0217049777262016,0.1106410753236959,0.1957230245808943,1.692669305805646e-12,3.810612246158337e-12,0.1039494130700189,0.5180117683673383,-0.8945302345492049,1.1107695472539936,0.8447673063476031,0.9712717285219278,-0.0512409493807821,0.5003408825597461,-0.9555103466067978,1.0064989968133955,0.9258021909719524,0.9803881005289856
describe,wiki2014,glasgow-gender,gender,4.303,-0.1453938283903686,0.0265285608829668,-0.1973888522826616,-0.0933988044980755,4.234233279021165e-08,7.91045391112176e-08,0.6444844382013969,0.4364498989560486,-0.3145512620784179,1.3421086715833284,0.1921373630642529,0.7388342811272367,-0.3507366631622214,0.5003391080712335,-1.3076969149470798,0.6450605658442697,0.5060212881671976,0.8333952132845575
description,wiki2014,glasgow-gender,gender,4.257,-0.4573585977506814,0.0289479047175959,-0.5140954484250666,-0.4006217470762963,3.123733606441421e-56,1.5714630187489733e-55,0.5278259898626624,0.4996000344998427,-0.4163351401902891,1.4978321159315742,0.3157485820837541,0.8139812470017216,-0.5853028768276578,0.4660593570045299,-1.4625513563380448,0.3506171725063657,0.2690544635226478,0.7078890012570939
desert,wiki2014,glasgow-gender,gender,4.0,-0.1676903530056794,0.0286777051942498,-0.2238976223456663,-0.1114830836656924,4.988930483463838e-09,9.768060550801802e-09,-0.2224012584075662,0.522659529664577,-1.2176869870167155,0.7824919963876732,0.6752389091756662,0.9394393720865444,-0.8343365219324551,0.3995066322121365,-1.5133551265368594,0.0620905970930335,0.1051977313340066,0.5264320612278164
deserve,wiki2014,glasgow-gender,gender,4.311999999999999,0.1144001237672435,0.0634057459774108,-0.009872854761377,0.2386731022958642,0.0711901834767244,0.0874953885432101,0.123940527142665,0.5069293282735738,-0.8862178161984677,1.023157213973921,0.813689690000777,0.96638466603797,0.2819554621160404,0.5342121082826652,-0.9936637490258496,0.9423769803399126,0.7516121513479916,0.9260830018809092
deserving,wiki2014,glasgow-gender,gender,4.454000000000001,-0.1910735807802883,0.1040353311892043,-0.3949790830308254,0.0128319214702486,0.0662652548799791,0.0817067883746646,-0.2759136780288043,0.5088775833745083,-1.1713437855609814,0.7867002030623028,0.6131613705228809,0.9267427068407144,-0.0553942342199176,0.5165491235397898,-1.0213435493018324,0.9753929486476756,0.9188874213347836,0.9784945572785578
design,wiki2014,glasgow-gender,gender,4.706,-0.3068520144976363,0.0128388636201527,-0.3320157247955573,-0.2816883041997153,2.8503365767219833e-126,2.56611344129909e-125,0.3635394331557057,0.4974371278812946,-0.7182888618159653,1.248180798772796,0.501748115919509,0.89257332265986,-0.2668152350488385,0.5128467347258107,-1.21493784876317,0.7680280347880063,0.6152591096262917,0.8771736750571177
designer,wiki2014,glasgow-gender,gender,5.125,0.3207320424005937,0.020321116836802,0.2809033852748312,0.3605606995263562,4.021860469693662e-56,2.017941402068167e-55,0.9353234047189752,0.3897139770733758,0.0573441950118286,1.6006184047793524,0.0690700023308212,0.5433907092053313,0.6337612994540195,0.5198247380478839,-0.3206843048540313,1.62308847483692,0.2323828762333929,0.6791300179891587
desirable,wiki2014,glasgow-gender,gender,5.406000000000001,0.6549449296431351,0.0715090376134189,0.514789791351714,0.7951000679345562,5.241007065390583e-20,1.4623349984134378e-19,0.9619269804150538,0.3322787814805978,0.1812931580545504,1.4972317535073505,0.058192836609432,0.5150478049411678,0.597151671093823,0.4647499984043556,-0.3932552190318096,1.4223259920482725,0.2583326858829928,0.7002408249191397
desire,wiki2014,glasgow-gender,gender,4.742,0.1939040515768404,0.0141896965241305,0.1660927574379914,0.2217153457156894,1.6150129383037568e-42,6.775350215551714e-42,0.5506518289237656,0.4633654285352351,-0.5089828959886614,1.2814985456906287,0.3071245435475099,0.8113830388141674,0.2737726955878432,0.4969007646483858,-0.8180988980099319,1.1239764464375,0.6090435863569265,0.8748784003657121
desk,wiki2014,glasgow-gender,gender,3.759,0.0944714921128772,0.0291588454486564,0.0373212052027409,0.1516217790230135,0.0011954823140095,0.0017232798631753,0.3050487070788547,0.502710540373502,-0.683954988316199,1.1993363976766025,0.5663118638800404,0.9140595357134484,0.2657541357291936,0.4976305023175038,-0.7735688987855144,1.1857461988000335,0.6210084686504546,0.8784296200123011
desks,wiki2014,glasgow-gender,gender,3.571,0.2438974675305194,0.1760516099200299,-0.1011573473330336,0.5889522823940725,0.1659376625804343,0.1939069782466738,-0.1441459976669288,0.512599884716534,-1.0713589061369295,0.9325941132808024,0.791158418149328,0.963977293407363,0.4114992853830831,0.4661058581847001,-0.6846921227660884,1.1321915312153568,0.4682619843058037,0.8160359873325083
desolate,wiki2014,glasgow-gender,gender,3.765,0.0550743745517509,0.1064909477141669,-0.1536440476475543,0.2637927967510561,0.6050339919450446,0.6403624755397853,-0.1690288798518996,0.5088173890085236,-1.1274263170039156,0.8571592870997122,0.7506021288167197,0.9560438540299322,0.2886331769211453,0.5048380845509324,-0.8524551480552751,1.155597656261982,0.5881438893636858,0.869897057872492
despair,wiki2014,glasgow-gender,gender,4.471,0.339020077833095,0.0382156237255631,0.264118831684257,0.4139213239819331,7.227060441539541e-19,1.96514801241748e-18,0.30006199537012,0.4953393434438589,-0.7101756032536802,1.1878672870622609,0.577732887887499,0.9167725088481716,0.4331775312185997,0.4793370691864118,-0.6006436556348995,1.288866825706998,0.4127107450858519,0.7896293093450167
desperate,wiki2014,glasgow-gender,gender,4.486000000000001,0.512550554716015,0.0252526042566414,0.4630563598571547,0.5620447495748752,1.3546671170099895e-91,9.337175818113847e-91,0.5500797390129313,0.4877389933658017,-0.4828413237768081,1.4018635635443213,0.3027736772589542,0.8091044347092018,0.4333759653684884,0.4932283077069967,-0.5827104238239883,1.318677814464207,0.421179395540362,0.7935320604367219
desperation,wiki2014,glasgow-gender,gender,4.706,0.4756672997384553,0.0526642966988116,0.3724471749376529,0.5788874245392578,1.6838481989536184e-19,4.642435469858192e-19,0.1198548180866584,0.5201912263673849,-0.9128414460474408,1.0415746262221848,0.8228575868230906,0.9685836360944,0.7806161360509434,0.4326892648592499,-0.1750083569716702,1.5108471277620834,0.1393054152746484,0.5782879520448474
despise,wiki2014,glasgow-gender,gender,3.607,0.3663419862455319,0.0911660370399091,0.1876598370340654,0.5450241354569983,5.859169819272724e-05,9.201454190385636e-05,0.4279906330436214,0.4874738258011247,-0.5925261548910307,1.2861852252514765,0.4278610830549297,0.8640839234057047,0.5688986343660416,0.4453725532203572,-0.5213381931292819,1.243363259654698,0.3075130137518452,0.7303816919619888
dessert,wiki2014,glasgow-gender,gender,5.229,0.63009852382341,0.1172440810151305,0.4003043476332579,0.8598927000135621,7.690125391494994e-08,1.42102745074746e-07,1.1310964792358118,0.32612340838776,0.4315389365784751,1.718887164504105,0.024939787118328,0.3981144505039993,1.3080719783943946,0.2317090079586663,0.8181450819704246,1.7473519951236585,0.0065262994328335,0.1960147812912749
destination,wiki2014,glasgow-gender,gender,3.818,0.8595031276279778,0.0334035057091076,0.7940334594807487,0.9249727957752067,5.222837027940951e-146,5.345528673640425e-145,1.0904908076117423,0.342856460474605,0.324239631964188,1.7058357900547807,0.0286691010799471,0.4189217262420588,0.4738116313541049,0.4961638319818667,-0.5524629226041015,1.400217633936305,0.3716882915080413,0.7644354494363299
destiny,wiki2014,glasgow-gender,gender,5.343999999999999,0.3902519381617216,0.0299525283826561,0.3315460612858019,0.4489578150376414,8.342746054365677e-39,3.3043954138601e-38,0.4901395107762239,0.4867231073486889,-0.5318574878553898,1.3552640694867153,0.3611995959909875,0.8314542526587242,0.919373691702714,0.3788902922318387,0.0754413727391281,1.5289342001662247,0.0743531971097816,0.4618748634066098
